date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2024-12-17,sh.603681,13.8000,13.8800,13.0800,13.2100,13.8800,4881233,65486586.6800,3,2.553900,1,-4.827100,0
2024-12-18,sh.603681,13.2700,13.5000,13.0000,13.3700,13.2100,3248951,43248941.8800,3,1.699900,1,1.211200,0
2024-12-19,sh.603681,13.1100,13.5000,13.0200,13.3800,13.3700,2733700,36257163.0000,3,1.430300,1,0.074800,0
2024-12-20,sh.603681,13.4000,13.7900,13.2600,13.6900,13.3800,2790300,37981298.0000,3,1.459900,1,2.316900,0
2024-12-23,sh.603681,13.6600,13.8700,13.0400,13.1100,13.6900,3589255,47809732.3000,3,1.877900,1,-4.236700,0
2024-12-24,sh.603681,13.3900,13.4200,13.0300,13.2700,13.1100,2353000,31175405.0000,3,1.231100,1,1.220400,0
2024-12-25,sh.603681,13.2700,13.2700,12.8300,12.9000,13.2700,2846082,36921043.6200,3,1.489100,1,-2.788200,0
2024-12-26,sh.603681,12.9800,13.2100,12.9000,13.1500,12.9000,1982700,26001626.0000,3,1.037400,1,1.938000,0
2024-12-27,sh.603681,13.1500,13.3800,13.0700,13.3400,13.1500,2040100,27125537.0000,3,1.067400,1,1.444900,0
2024-12-30,sh.603681,13.1400,13.2900,12.9200,13.0300,13.3400,2059000,26911775.0000,3,1.077300,1,-2.323800,0
2024-12-31,sh.603681,13.0700,13.1600,12.7700,12.8900,13.0300,2683600,34770442.0000,3,1.404100,1,-1.074400,0
2025-01-02,sh.603681,12.8900,13.0600,12.5300,12.6400,12.8900,2770507,35443483.9200,3,1.449500,1,-1.939500,0
2025-01-03,sh.603681,12.6900,12.8200,12.0900,12.1200,12.6400,2686800,33306244.0000,3,1.405700,1,-4.113900,0
2025-01-06,sh.603681,12.2800,12.3600,11.8000,12.2600,12.1200,1992449,24186026.6700,3,1.042500,1,1.155100,0
2025-01-07,sh.603681,12.2600,12.3800,12.0400,12.3500,12.2600,1602500,19629850.0000,3,0.838400,1,0.734100,0
2025-01-08,sh.603681,12.2900,12.3400,11.9100,12.2600,12.3500,1751500,21276020.0000,3,0.916400,1,-0.728700,0
2025-01-09,sh.603681,12.2200,12.4300,12.1600,12.2900,12.2600,1580000,19491100.0000,3,0.826700,1,0.244700,0
2025-01-10,sh.603681,12.2000,12.4400,12.1700,12.2100,12.2900,2084060,25663574.4000,3,1.090400,1,-0.650900,0
2025-01-13,sh.603681,12.1000,12.2500,11.9100,12.1700,12.2100,1201700,14516224.0000,3,0.628700,1,-0.327600,0
2025-01-14,sh.603681,12.2600,12.8000,12.2100,12.7300,12.1700,3480000,43458127.0000,3,1.820700,1,4.601500,0
