date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2017-04-28,sh.603797,7.1500,24.4800,7.1500,24.4800,1578859,31266863.0000,3,2.959991,310.738255
2017-05-31,sh.603797,26.9300,32.5800,19.6600,21.3400,307159884,8101598575.0000,3,575.852801,-12.826797
2017-06-30,sh.603797,20.8600,21.9800,18.8000,19.0400,136418406,2761565685.0000,3,255.752542,-10.777882
2017-07-31,sh.603797,19.1500,21.5900,16.2200,16.6900,76165438,1425649102.0000,3,142.792347,-11.882292
2017-08-31,sh.603797,16.8000,19.8500,15.9300,18.8000,100604786,1803027665.0000,3,188.610397,12.642301
2017-09-29,sh.603797,18.9100,19.6800,17.4000,18.0100,77195107,1451763621.0000,3,144.722735,-4.202128
2017-10-31,sh.603797,18.3000,24.6000,18.0600,22.2400,249743252,5481027113.0000,3,468.210071,23.486952
2017-11-30,sh.603797,22.1800,24.5000,17.6600,19.0300,154615156,3351739081.0000,3,289.867184,-14.433453
2017-12-29,sh.603797,18.8100,22.2200,17.8100,21.1700,104725436,2136602928.0000,3,196.335651,11.245402
2018-01-31,sh.603797,21.2000,21.8400,17.9000,18.1200,117922858,2427610830.0000,3,221.077724,-14.407180
2018-02-28,sh.603797,18.1200,18.8500,15.4300,17.9400,32431864,550588370.0000,3,60.802100,-0.993377
2018-03-30,sh.603797,17.7100,18.6800,15.2200,17.0300,52931412,930283308.0000,3,99.233993,-5.072464
2018-04-27,sh.603797,16.9700,17.6800,15.6600,16.9500,37553733,633536746.0000,3,70.404449,-0.469759
2018-05-31,sh.603797,17.1300,18.7900,15.8800,16.2500,88736764,1568186489.0000,3,166.360637,-4.129794
2018-06-29,sh.603797,16.0600,16.6600,14.0000,14.7100,22288579,349051915.0000,3,41.785862,-9.476923
2018-07-31,sh.603797,14.6300,15.9600,13.9000,14.6200,22123220,328134585.0000,3,41.475853,0.065202
2018-08-31,sh.603797,15.0000,15.0000,12.8600,12.8800,14694436,200278314.0000,3,27.548624,-11.901505
2018-09-28,sh.603797,12.7100,13.4100,12.5500,12.9800,11210576,145625583.0000,3,21.017203,0.776398
2018-10-31,sh.603797,12.8000,13.5700,11.6000,12.1300,11438433,140437955.0000,3,21.444381,-6.548536
2018-11-30,sh.603797,12.1600,14.3300,12.1100,12.5500,22064253,282848300.0000,3,41.365304,3.462490
2018-12-28,sh.603797,12.8100,13.1500,12.0000,12.0400,14760178,185246878.0000,3,27.671875,-4.063745
2019-01-31,sh.603797,12.0400,12.9900,10.9200,11.3300,11821166,144223767.0000,3,22.161916,-5.897010
2019-02-28,sh.603797,11.3300,13.8000,11.3300,13.8000,23038484,293114251.0000,3,43.191759,21.800530
2019-03-29,sh.603797,13.7500,15.8500,12.9100,15.0700,64452597,908300864.0000,3,120.833515,9.202899
2019-04-30,sh.603797,14.8500,15.1800,13.3000,14.2900,44061768,632440702.0000,3,82.605489,-5.175846
2019-05-31,sh.603797,14.1800,14.4200,9.6400,9.8100,32610396,422700248.0000,3,57.526376,-3.150217
2019-06-28,sh.603797,9.8100,13.5500,9.0000,13.5500,176908323,2025346817.0000,3,236.901177,38.124363
2019-07-31,sh.603797,14.9100,18.7000,11.4300,11.8400,482755262,6942480951.0000,3,646.466700,-12.619926
2019-08-30,sh.603797,11.8000,12.4600,10.6200,11.1900,263916756,3027412404.0000,3,353.415800,-5.489865
2019-09-30,sh.603797,11.2100,14.1600,11.2100,12.1900,260485057,3365301916.0000,3,348.820400,8.936550
2019-10-31,sh.603797,12.1100,13.7000,11.9300,11.9800,180764509,2334230479.0000,3,202.473200,-1.722724
2019-11-29,sh.603797,11.9700,12.2000,10.4700,10.7200,77232951,866290264.0000,3,86.508300,-10.517529
2019-12-31,sh.603797,10.8000,11.9600,10.5000,11.2500,76045438,851948028.0000,3,85.177900,4.944030
2020-01-23,sh.603797,11.3200,12.8900,11.1200,11.4000,89365074,1056724502.0000,3,94.295000,1.333333
2020-02-28,sh.603797,10.2600,11.3900,9.2300,10.1100,103316416,1095371351.0000,3,109.015800,-11.315789
