code,name,daily,weekly,monthly,success
sz.399332,深证创新价格指数,86,0,11,True
sz.399907,中证700指数,86,0,6,True
sz.399915,沪深300信息技术指数,86,0,6,True
sz.399916,沪深300通信服务指数,86,0,6,True
sz.399920,沪深300相对成长指数,86,0,6,True
sz.399923,中证公司债,86,0,6,True
sz.399926,中证中央企业综合指数,86,0,6,True
sz.399927,中证中央企业100指数,86,0,6,True
sz.399929,中证原材料指数,86,0,6,True
sz.399930,中证工业指数,86,0,6,True
sz.399936,中证通信服务指数,86,0,6,True
sz.399937,中证公用事业指数,86,0,6,True
sz.399938,中证民营企业综合指数,86,0,6,True
sz.399941,中证内地新能源主题指数,86,0,6,True
sz.399942,中证内地消费主题指数,86,0,6,True
sz.399943,中证新型基础设施建设50指数,86,0,6,True
sz.399945,中证内地运输主题指数,86,0,6,True
sz.399946,中证银行保险50主题指数,86,0,6,True
sz.399947,中证内地银行主题指数,86,0,6,True
sz.399948,中证内地地产主题指数,86,0,6,True
sz.399949,中证农业主题指数,86,0,6,True
sz.399953,中证地方国有企业综合指数,86,0,6,True
sz.399954,中证地方国有企业100指数,86,0,6,True
sz.399956,中证国有企业200指数,86,0,6,True
sz.399960,中证龙头企业指数,86,0,6,True
sz.399962,中证中游制造产业指数,86,0,6,True
sz.399968,沪深300周期行业指数,86,0,6,True
sz.399980,中证超级大盘指数,86,0,6,True
