code,name,monthly_trend,weekly_score,current_price,ma40_weekly,volume_ratio,date
002356,赫美集团,BASE_BUILDING,145,4.01,0,2.136493523752198,2025-12-18
603877,太平鸟,BASE_BUILDING,145,15.12,0,1.5463270640245528,2025-12-18
688601,力芯微,BASE_BUILDING,140,45.6,0,1.4560244792051187,2025-12-18
600280,中央商场,BASE_BUILDING,140,4.25,0,2.486409034191122,2025-12-17
002519,银河电子,BASE_BUILDING,135,6.04,0,5.411894406190537,2025-12-18
000659,珠海中富,BASE_BUILDING,135,3.21,0,2.128156386572465,2025-12-18
603008,喜临门,BASE_BUILDING,135,21.6,0,1.6019040233397295,2025-12-18
002584,西陇科学,BASE_BUILDING,135,9.31,0,1.3649752593143762,2025-12-18
600865,百大集团,BASE_BUILDING,130,17.4,0,1.7193034743279925,2025-12-18
300751,迈为股份,BASE_BUILDING,130,156.35,0,1.847180026780364,2025-12-18
600550,保变电气,BASE_BUILDING,130,10.11,0,1.7457305570134458,2025-12-17
600163,中闽能源,BASE_BUILDING,130,5.76,0,2.010027717432416,2025-12-17
000543,皖能电力,BASE_BUILDING,130,8.17,0,1.6568292799264104,2025-12-18
600586,金晶科技,BASE_BUILDING,130,5.58,0,1.8622779195430441,2025-12-17
600759,洲际油气,BASE_BUILDING,125,2.63,0,1.3154179639375267,2025-12-18
000721,西安饮食,BASE_BUILDING,125,10.09,0,2.5545431088363326,2025-12-18
300034,钢研高纳,BASE_BUILDING,125,18.77,0,1.5129759242229706,2025-12-18
001330,博纳影业,BASE_BUILDING,125,10.81,0,1.397784031903606,2025-12-18
601989,中国重工,BASE_BUILDING,125,5.1,0,2.5071797788081542,2025-09-04
603408,建霖家居,BASE_BUILDING,125,12.85,0,1.7833252907694448,2025-12-18
600750,江中药业,BASE_BUILDING,120,24.85,0,2.0935528382439457,2025-12-18
603121,华培动力,BASE_BUILDING,120,22.2,0,2.6627671147188563,2025-12-18
688636,智明达,BASE_BUILDING,120,38.9,0,1.5927838539314845,2025-12-18
300982,苏文电能,BASE_BUILDING,120,19.69,0,1.5879021459732132,2025-12-18
000520,凤凰航运,BASE_BUILDING,120,4.77,0,1.472730588643825,2025-12-18
002723,小崧股份,BASE_BUILDING,120,8.65,0,1.8187952066226198,2025-12-18
002582,好想你,BASE_BUILDING,115,10.34,0,1.4448780220757282,2025-12-18
600011,华能国际,BASE_BUILDING,110,7.81,0,1.3947775656704093,2025-12-17
000589,贵州轮胎,BASE_BUILDING,110,5.06,0,1.3318555413358557,2025-12-18
000070,特发信息,UPTREND,145,11.63,0,2.086213831774921,2025-12-18
688543,国科军工,UPTREND,145,55.5,0,3.1976509735556924,2025-12-18
603216,梦天家居,UPTREND,145,33.59,0,4.969408205483965,2025-12-18
600568,ST中珠,UPTREND,145,2.55,0,2.249644104038525,2025-12-17
000547,航天发展,UPTREND,145,21.45,0,1548510768.5714285,2025-12-18
301171,易点天下,UPTREND,145,33.33,0,1.5408853758770007,2025-12-18
300785,值得买,UPTREND,145,40.17,0,2.053379189885323,2025-12-18
600343,航天动力,UPTREND,145,36.2,0,408929942.4285714,2025-12-17
301201,诚达药业,UPTREND,140,40.93,0,1.4782228628906187,2025-12-18
300937,药易购,UPTREND,140,35.24,0,1.4311179162301195,2025-12-18
300346,南大光电,UPTREND,140,45.01,0,1.6933949947978688,2025-12-18
301111,粤万年青,UPTREND,140,19.94,0,1.6918875171561718,2025-12-18
688148,芳源股份,UPTREND,140,8.58,0,1.6876782022776917,2025-12-18
600151,航天机电,UPTREND,140,18.12,0,3.1443230517925485,2025-12-17
688365,光云科技,UPTREND,140,15.64,0,2.3748344717599483,2025-12-18
688205,德科立,UPTREND,140,162.13,0,1.9726379999578783,2025-12-18
300221,银禧科技,UPTREND,140,9.41,0,2.5193900621680383,2025-12-18
600835,上海机电,UPTREND,140,26.39,0,2.090423866923871,2025-12-18
300438,鹏辉能源,UPTREND,140,50.3,0,1.7895841878712904,2025-12-18
300548,长芯博创,UPTREND,140,140.84,0,1.7122675376861505,2025-12-18
300215,电科院,UPTREND,140,6.66,0,3.032158209920044,2025-12-18
600855,航天长峰,UPTREND,140,19.52,0,3.4680241471832396,2025-12-18
600467,好当家,UPTREND,140,2.58,0,1.3814375352351531,2025-12-17
603758,秦安股份,UPTREND,140,18.16,0,1.6575807120880328,2025-12-18
300620,光库科技,UPTREND,140,164.2,0,1.4047645994737261,2025-12-18
002413,雷科防务,UPTREND,140,9.17,0,5.895364468799967,2025-12-18
688195,腾景科技,UPTREND,140,177.91,0,1.376891791536528,2025-12-18
002491,通鼎互联,UPTREND,140,6.51,0,1.5384285123171033,2025-12-18
002285,世联行,UPTREND,140,3.33,0,4.496283608141748,2025-12-18
300189,神农种业,UPTREND,140,5.46,0,1058028758.8571428,2025-12-18
002407,多氟多,UPTREND,140,28.56,0,1.3421008371407275,2025-12-18
605598,上海港湾,UPTREND,140,48.5,0,1.366412627737301,2025-12-18
000735,罗牛山,UPTREND,140,8.99,0,570177176.1428572,2025-12-18
301256,华融化学,UPTREND,140,14.35,0,4.421348435256033,2025-12-18
301133,金钟股份,UPTREND,140,37.2,0,1.7028002050503819,2025-12-18
600730,中国高科,UPTREND,140,15.91,0,2.3337657890445436,2025-12-18
603528,多伦科技,UPTREND,140,10.29,0,1.7159278930527697,2025-12-18
688102,斯瑞新材,UPTREND,140,35.78,0,170296001.83333334,2025-12-18
300427,红相股份,UPTREND,140,13.65,0,566330123.0,2025-12-18
002565,顺灏股份,UPTREND,140,16.69,0,4.130616669956212,2025-12-18
601600,中国铝业,UPTREND,135,10.53,0,1.3919829648806177,2025-12-18
688048,长光华芯,UPTREND,135,142.13,0,1.4034124191316462,2025-12-18
301189,奥尼电子,UPTREND,135,38.8,0,1.817830733489383,2025-12-18
601279,英利汽车,UPTREND,135,5.08,0,1.4289630782159004,2025-12-18
300102,乾照光电,UPTREND,135,24.87,0,1.4634486585399118,2025-12-18
603217,元利科技,UPTREND,135,25.12,0,1.634775539334008,2025-12-18
000859,国风新材,UPTREND,135,9.44,0,1.3638089178263764,2025-12-18
002545,东方铁塔,UPTREND,135,17.39,0,1.5948542056876764,2025-12-18
605100,华丰股份,UPTREND,135,39.48,0,2.1066703150022015,2025-12-18
601061,中信金属,UPTREND,135,13.61,0,1.94051041732136,2025-12-18
603122,合富中国,UPTREND,135,30.01,0,1.414035147338037,2025-12-18
300045,华力创通,UPTREND,135,25.24,0,1.5201937104507903,2025-12-18
300516,久之洋,UPTREND,135,66.99,0,1.3855980356580744,2025-12-18
603421,鼎信通讯,UPTREND,135,8.3,0,1.7197877423153984,2025-12-18
002977,天箭科技,UPTREND,135,44.07,0,7.703784019114739,2025-12-18
